Token,Contract,Slot,UpdateRatio,Error
0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,5,1,
0x0327112423f3a68efdf1fcf402f6c5cb9f7c33fd,0x0327112423f3a68efdf1fcf402f6c5cb9f7c33fd,29772918688238309018919246547456357323828465927873189849095851414833172585378,1,
0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0,1,
0x08d967bb0134f2d07f7cfb6e246680c53927dd30,0x08d967bb0134f2d07f7cfb6e246680c53927dd30,0,1,
0x0a913bead80f321e7ac35285ee10d9d922659cb7,0x0a913bead80f321e7ac35285ee10d9d922659cb7,4,1,
0x0ae055097c6d159879521c384f1d2123d1f195e6,0x0ae055097c6d159879521c384f1d2123d1f195e6,1,1,
0x88df592f8eb5d7bd38bfef7deb0fbc02cf3778a0,,,,Error: No valid slots found
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0,1,
0x0cf0ee63788a0849fe5297f3407f701e122cc023,0x0cf0ee63788a0849fe5297f3407f701e122cc023,1,1,
0x0d438f3b5175bebc262bf23753c1e53d03432bde,0x0d438f3b5175bebc262bf23753c1e53d03432bde,0,1,

